"Data Table: Heart failure, Crude incidence rate, per 100,000"

"Geography","Sex","Age group type","Age group","Fiscal year","Rate (per 100,000)","Standard Error","Lower 95%_CI","Upper 95%_CI","Rate CV (%)","Counts","Population",
"Canada","Both sexes","Total","40+","2000–2001","731","2.30","726","735","0.32","100690","13779180",
"Canada","Females","Total","40+","2000–2001","716","3.16","710","723","0.44","51370","7171470",
"Canada","Males","Total","40+","2000–2001","746","3.36","740","753","0.45","49315","6607705",
"Canada","Both sexes","Total","40+","2001–2002","687","2.20","683","691","0.32","97115","14138230",
"Canada","Females","Total","40+","2001–2002","675","3.03","669","680","0.45","49575","7349705",
"Canada","Males","Total","40+","2001–2002","700","3.21","694","707","0.46","47545","6788525",
"Canada","Both sexes","Total","40+","2002–2003","632","2.09","628","636","0.33","91705","14510750",
"Canada","Females","Total","40+","2002–2003","614","2.85","608","620","0.46","46270","7535265",
"Canada","Males","Total","40+","2002–2003","651","3.06","645","657","0.47","45440","6975485",
"Canada","Both sexes","Total","40+","2003–2004","613","2.03","609","617","0.33","91280","14883465",
"Canada","Females","Total","40+","2003–2004","594","2.77","589","599","0.47","45855","7720370",
"Canada","Males","Total","40+","2003–2004","634","2.98","628","640","0.47","45425","7163095",
"Canada","Both sexes","Total","40+","2004–2005","587","1.96","583","591","0.33","89510","15241370",
"Canada","Females","Total","40+","2004–2005","569","2.68","564","575","0.47","44965","7898495",
"Canada","Males","Total","40+","2004–2005","607","2.87","601","612","0.47","44550","7342880",
"Canada","Both sexes","Total","40+","2005–2006","564","1.90","560","567","0.34","87795","15579915",
"Canada","Females","Total","40+","2005–2006","546","2.60","541","552","0.48","44080","8066815",
"Canada","Males","Total","40+","2005–2006","582","2.78","576","587","0.48","43715","7513100",
"Canada","Both sexes","Total","40+","2006–2007","550","1.87","546","554","0.34","86860","15797225",
"Canada","Females","Total","40+","2006–2007","529","2.54","524","534","0.48","43255","8179000",
"Canada","Males","Total","40+","2006–2007","572","2.74","567","578","0.48","43605","7618230",
"Canada","Both sexes","Total","40+","2007–2008","539","1.83","535","543","0.34","86365","16023230",
"Canada","Females","Total","40+","2007–2008","516","2.50","512","521","0.48","42840","8294595",
"Canada","Males","Total","40+","2007–2008","563","2.70","558","569","0.48","43530","7728645",
"Canada","Both sexes","Total","40+","2008–2009","553","1.83","549","557","0.33","91525","16551600",
"Canada","Females","Total","40+","2008–2009","530","2.49","525","535","0.47","45400","8563545",
"Canada","Males","Total","40+","2008–2009","578","2.69","572","583","0.47","46135","7988060",
"Canada","Both sexes","Total","40+","2009–2010","543","1.79","539","546","0.33","91460","16853075",
"Canada","Females","Total","40+","2009–2010","521","2.45","516","526","0.47","45420","8715175",
"Canada","Males","Total","40+","2009–2010","566","2.64","561","571","0.47","46040","8137905",
"Canada","Both sexes","Total","40+","2010–2011","529","1.75","525","532","0.33","90925","17192945",
"Canada","Females","Total","40+","2010–2011","508","2.39","503","512","0.47","45090","8884355",
"Canada","Males","Total","40+","2010–2011","552","2.58","547","557","0.47","45835","8308590",
"Canada","Both sexes","Total","40+","2011–2012","525","1.73","522","528","0.33","91910","17505415",
"Canada","Females","Total","40+","2011–2012","505","2.36","501","510","0.47","45685","9039045",
"Canada","Males","Total","40+","2011–2012","546","2.54","541","551","0.47","46230","8466375",
"Canada","Both sexes","Total","40+","2012–2013","521","1.71","518","525","0.33","92855","17813710",
"Canada","Females","Total","40+","2012–2013","495","2.32","490","499","0.47","45470","9191545",
"Canada","Males","Total","40+","2012–2013","550","2.52","545","555","0.46","47390","8622175",
"Canada","Both sexes","Total","40+","2013–2014","535","1.72","531","538","0.32","96785","18100625",
"Canada","Females","Total","40+","2013–2014","507","2.33","503","512","0.46","47360","9335545",
"Canada","Males","Total","40+","2013–2014","564","2.54","559","569","0.45","49420","8765080",
"Canada","Both sexes","Total","40+","2014–2015","552","1.73","548","555","0.31","101280","18351415",
"Canada","Females","Total","40+","2014–2015","523","2.35","518","528","0.45","49485","9461560",
"Canada","Males","Total","40+","2014–2015","583","2.56","578","588","0.44","51790","8889850",
"Canada","Both sexes","Total","40+","2015–2016","544","1.71","540","547","0.31","101185","18610495",
"Canada","Females","Total","40+","2015–2016","514","2.31","509","518","0.45","49285","9593225",
"Canada","Males","Total","40+","2015–2016","576","2.53","571","581","0.44","51900","9017275",
"Canada","Both sexes","Total","40+","2016–2017","538","1.69","535","541","0.31","101655","18898575",
"Canada","Females","Total","40+","2016–2017","504","2.27","500","509","0.45","49100","9740595",
"Canada","Males","Total","40+","2016–2017","574","2.50","569","579","0.44","52555","9157980",
"Canada","Both sexes","Total","40+","2017–2018","557","1.70","553","560","0.31","106765","19181935",
"Canada","Females","Total","40+","2017–2018","518","2.29","514","523","0.44","51235","9886015",
"Canada","Males","Total","40+","2017–2018","597","2.54","592","602","0.42","55530","9295920",
"Canada","Both sexes","Total","40+","2018–2019","560","1.70","557","563","0.30","109105","19485510",
"Canada","Females","Total","40+","2018–2019","519","2.27","514","523","0.44","52100","10040790",
"Canada","Males","Total","40+","2018–2019","604","2.53","599","609","0.42","57005","9444720",
"Canada","Both sexes","Total","40+","2019–2020","560","1.68","557","563","0.30","111030","19822955",
"Canada","Females","Total","40+","2019–2020","518","2.25","513","522","0.43","52855","10212555",
"Canada","Males","Total","40+","2019–2020","605","2.51","600","610","0.41","58175","9610405",
"Canada","Both sexes","Total","40+","2020–2021*","528","1.63","525","531","0.31","105555","19984460",
"Canada","Females","Total","40+","2020–2021*","477","2.15","472","481","0.45","49110","10302880",
"Canada","Males","Total","40+","2020–2021*","583","2.45","578","588","0.42","56445","9681580",
"Canada","Both sexes","Total","40+","2021–2022*","573","1.70","570","577","0.30","114070","19893240",
"Canada","Females","Total","40+","2021–2022*","523","2.26","518","527","0.43","53595","10256020",
"Canada","Males","Total","40+","2021–2022*","628","2.55","623","633","0.41","60480","9637220",
"Canada","Both sexes","Total","40+","2022–2023*","601","1.72","598","604","0.29","122025","20300185",
"Canada","Females","Total","40+","2022–2023*","547","2.29","543","552","0.42","57290","10468890",
"Canada","Males","Total","40+","2022–2023*","658","2.59","653","664","0.39","64735","9831295",
"Newfoundland and Labrador","Both sexes","Total","40+","2000–2001","","","","","","","",
"Newfoundland and Labrador","Females","Total","40+","2000–2001","","","","","","","",
"Newfoundland and Labrador","Males","Total","40+","2000–2001","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","40+","2001–2002","","","","","","","",
"Newfoundland and Labrador","Females","Total","40+","2001–2002","","","","","","","",
"Newfoundland and Labrador","Males","Total","40+","2001–2002","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","40+","2002–2003","","","","","","","",
"Newfoundland and Labrador","Females","Total","40+","2002–2003","","","","","","","",
"Newfoundland and Labrador","Males","Total","40+","2002–2003","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","40+","2003–2004","","","","","","","",
"Newfoundland and Labrador","Females","Total","40+","2003–2004","","","","","","","",
"Newfoundland and Labrador","Males","Total","40+","2003–2004","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","40+","2004–2005","","","","","","","",
"Newfoundland and Labrador","Females","Total","40+","2004–2005","","","","","","","",
"Newfoundland and Labrador","Males","Total","40+","2004–2005","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","40+","2005–2006","","","","","","","",
"Newfoundland and Labrador","Females","Total","40+","2005–2006","","","","","","","",
"Newfoundland and Labrador","Males","Total","40+","2005–2006","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","40+","2006–2007","","","","","","","",
"Newfoundland and Labrador","Females","Total","40+","2006–2007","","","","","","","",
"Newfoundland and Labrador","Males","Total","40+","2006–2007","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","40+","2007–2008","","","","","","","",
"Newfoundland and Labrador","Females","Total","40+","2007–2008","","","","","","","",
"Newfoundland and Labrador","Males","Total","40+","2007–2008","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","40+","2008–2009","834","17.36","801","869","2.08","2310","276825",
"Newfoundland and Labrador","Females","Total","40+","2008–2009","794","23.56","748","841","2.97","1135","142990",
"Newfoundland and Labrador","Males","Total","40+","2008–2009","878","25.61","828","930","2.92","1175","133835",
"Newfoundland and Labrador","Both sexes","Total","40+","2009–2010","783","16.70","751","817","2.13","2200","280925",
"Newfoundland and Labrador","Females","Total","40+","2009–2010","779","23.19","735","826","2.97","1130","144980",
"Newfoundland and Labrador","Males","Total","40+","2009–2010","787","24.06","741","836","3.06","1070","135945",
"Newfoundland and Labrador","Both sexes","Total","40+","2010–2011","497","13.20","471","523","2.66","1415","284905",
"Newfoundland and Labrador","Females","Total","40+","2010–2011","453","17.55","419","488","3.88","665","146935",
"Newfoundland and Labrador","Males","Total","40+","2010–2011","544","19.85","505","584","3.65","750","137970",
"Newfoundland and Labrador","Both sexes","Total","40+","2011–2012","485","12.95","460","512","2.67","1405","289415",
"Newfoundland and Labrador","Females","Total","40+","2011–2012","459","17.54","425","495","3.82","685","149200",
"Newfoundland and Labrador","Males","Total","40+","2011–2012","513","19.14","477","552","3.73","720","140215",
"Newfoundland and Labrador","Both sexes","Total","40+","2012–2013","457","12.49","433","482","2.73","1340","293170",
"Newfoundland and Labrador","Females","Total","40+","2012–2013","427","16.81","395","461","3.94","645","151100",
"Newfoundland and Labrador","Males","Total","40+","2012–2013","482","18.42","447","520","3.82","685","142060",
"Newfoundland and Labrador","Both sexes","Total","40+","2013–2014","447","12.28","423","472","2.75","1325","296320",
"Newfoundland and Labrador","Females","Total","40+","2013–2014","439","16.96","406","473","3.86","670","152635",
"Newfoundland and Labrador","Males","Total","40+","2013–2014","456","17.81","422","492","3.91","655","143685",
"Newfoundland and Labrador","Both sexes","Total","40+","2014–2015","508","13.04","482","534","2.57","1515","298485",
"Newfoundland and Labrador","Females","Total","40+","2014–2015","478","17.64","444","514","3.69","735","153695",
"Newfoundland and Labrador","Males","Total","40+","2014–2015","539","19.29","502","578","3.58","780","144790",
"Newfoundland and Labrador","Both sexes","Total","40+","2015–2016","475","12.58","450","500","2.65","1425","300105",
"Newfoundland and Labrador","Females","Total","40+","2015–2016","450","17.05","417","484","3.79","695","154595",
"Newfoundland and Labrador","Males","Total","40+","2015–2016","502","18.57","466","539","3.70","730","145505",
"Newfoundland and Labrador","Both sexes","Total","40+","2016–2017","473","12.49","449","498","2.64","1435","303300",
"Newfoundland and Labrador","Females","Total","40+","2016–2017","432","16.62","400","466","3.85","675","156310",
"Newfoundland and Labrador","Males","Total","40+","2016–2017","517","18.76","481","555","3.63","760","146985",
"Newfoundland and Labrador","Both sexes","Total","40+","2017–2018","487","12.64","463","513","2.59","1485","304780",
"Newfoundland and Labrador","Females","Total","40+","2017–2018","432","16.58","401","466","3.83","680","157260",
"Newfoundland and Labrador","Males","Total","40+","2017–2018","542","19.17","505","581","3.54","800","147520",
"Newfoundland and Labrador","Both sexes","Total","40+","2018–2019","475","12.46","451","500","2.62","1455","306165",
"Newfoundland and Labrador","Females","Total","40+","2018–2019","436","16.61","404","470","3.81","690","158170",
"Newfoundland and Labrador","Males","Total","40+","2018–2019","517","18.69","481","555","3.62","765","147990",
"Newfoundland and Labrador","Both sexes","Total","40+","2019–2020","447","12.04","424","472","2.69","1380","308420",
"Newfoundland and Labrador","Females","Total","40+","2019–2020","398","15.81","368","431","3.97","635","159355",
"Newfoundland and Labrador","Males","Total","40+","2019–2020","503","18.37","468","540","3.65","750","149075",
"Newfoundland and Labrador","Both sexes","Total","40+","2020–2021*","473","12.33","449","498","2.61","1470","310860",
"Newfoundland and Labrador","Females","Total","40+","2020–2021*","423","16.22","392","456","3.83","680","160740",
"Newfoundland and Labrador","Males","Total","40+","2020–2021*","526","18.72","490","564","3.56","790","150120",
"Newfoundland and Labrador","Both sexes","Total","40+","2021–2022*","442","11.86","419","466","2.68","1390","314445",
"Newfoundland and Labrador","Females","Total","40+","2021–2022*","406","15.80","375","438","3.89","660","162615",
"Newfoundland and Labrador","Males","Total","40+","2021–2022*","484","17.85","450","520","3.69","735","151840",
"Newfoundland and Labrador","Both sexes","Total","40+","2022–2023*","438","11.74","416","462","2.68","1395","318140",
"Newfoundland and Labrador","Females","Total","40+","2022–2023*","371","15.00","342","401","4.05","610","164605",
"Newfoundland and Labrador","Males","Total","40+","2022–2023*","511","18.25","476","548","3.57","785","153540",
"Prince Edward Island","Both sexes","Total","40+","2000–2001","767","34.84","701","839","4.54","485","63205",
"Prince Edward Island","Females","Total","40+","2000–2001","724","46.76","636","822","6.45","240","33130",
"Prince Edward Island","Males","Total","40+","2000–2001","798","51.52","700","906","6.45","240","30070",
"Prince Edward Island","Both sexes","Total","40+","2001–2002","794","35.17","727","866","4.43","510","64220",
"Prince Edward Island","Females","Total","40+","2001–2002","757","47.39","667","856","6.26","255","33695",
"Prince Edward Island","Males","Total","40+","2001–2002","852","52.82","751","962","6.20","260","30530",
"Prince Edward Island","Both sexes","Total","40+","2002–2003","734","33.49","670","802","4.56","480","65415",
"Prince Edward Island","Females","Total","40+","2002–2003","685","44.65","600","778","6.52","235","34330",
"Prince Edward Island","Males","Total","40+","2002–2003","804","50.87","708","910","6.32","250","31085",
"Prince Edward Island","Both sexes","Total","40+","2003–2004","701","32.34","639","767","4.61","470","67040",
"Prince Edward Island","Females","Total","40+","2003–2004","696","44.45","611","789","6.39","245","35210",
"Prince Edward Island","Males","Total","40+","2003–2004","691","46.61","603","789","6.74","220","31825",
"Prince Edward Island","Both sexes","Total","40+","2004–2005","622","30.18","564","684","4.85","425","68305",
"Prince Edward Island","Females","Total","40+","2004–2005","572","39.95","496","656","6.98","205","35835",
"Prince Edward Island","Males","Total","40+","2004–2005","693","46.19","605","790","6.67","225","32475",
"Prince Edward Island","Both sexes","Total","40+","2005–2006","577","28.84","522","636","5.00","400","69350",
"Prince Edward Island","Females","Total","40+","2005–2006","564","39.42","490","647","6.98","205","36320",
"Prince Edward Island","Males","Total","40+","2005–2006","605","42.80","524","695","7.07","200","33040",
"Prince Edward Island","Both sexes","Total","40+","2006–2007","610","29.41","553","670","4.82","430","70520",
"Prince Edward Island","Females","Total","40+","2006–2007","597","40.25","521","681","6.74","220","36855",
"Prince Edward Island","Males","Total","40+","2006–2007","624","43.05","542","714","6.90","210","33665",
"Prince Edward Island","Both sexes","Total","40+","2007–2008","542","27.44","490","599","5.06","390","71960",
"Prince Edward Island","Females","Total","40+","2007–2008","532","37.60","461","611","7.07","200","37610",
"Prince Edward Island","Males","Total","40+","2007–2008","553","40.13","477","638","7.25","190","34350",
"Prince Edward Island","Both sexes","Total","40+","2008–2009","542","27.09","490","598","5.00","400","73825",
"Prince Edward Island","Females","Total","40+","2008–2009","493","35.76","425","568","7.25","190","38550",
"Prince Edward Island","Males","Total","40+","2008–2009","581","40.59","504","666","6.98","205","35270",
"Prince Edward Island","Both sexes","Total","40+","2009–2010","571","27.55","519","628","4.82","430","75275",
"Prince Edward Island","Females","Total","40+","2009–2010","548","37.35","477","626","6.82","215","39260",
"Prince Edward Island","Males","Total","40+","2009–2010","597","40.71","520","682","6.82","215","36020",
"Prince Edward Island","Both sexes","Total","40+","2010–2011","573","27.30","520","629","4.77","440","76840",
"Prince Edward Island","Females","Total","40+","2010–2011","536","36.57","467","613","6.82","215","40100",
"Prince Edward Island","Males","Total","40+","2010–2011","612","40.82","535","698","6.67","225","36745",
"Prince Edward Island","Both sexes","Total","40+","2011–2012","574","27.08","523","630","4.71","450","78335",
"Prince Edward Island","Females","Total","40+","2011–2012","539","36.34","470","615","6.74","220","40815",
"Prince Edward Island","Males","Total","40+","2011–2012","613","40.42","536","697","6.59","230","37525",
"Prince Edward Island","Both sexes","Total","40+","2012–2013","567","26.71","515","621","4.71","450","79425",
"Prince Edward Island","Females","Total","40+","2012–2013","568","37.05","498","645","6.52","235","41375",
"Prince Edward Island","Males","Total","40+","2012–2013","552","38.09","480","632","6.90","210","38050",
"Prince Edward Island","Both sexes","Total","40+","2013–2014","505","25.08","457","556","4.97","405","80240",
"Prince Edward Island","Females","Total","40+","2013–2014","491","34.31","426","563","6.98","205","41735",
"Prince Edward Island","Males","Total","40+","2013–2014","519","36.72","450","597","7.07","200","38510",
"Prince Edward Island","Both sexes","Total","40+","2014–2015","544","25.94","494","597","4.77","440","80875",
"Prince Edward Island","Females","Total","40+","2014–2015","523","35.28","456","597","6.74","220","42040",
"Prince Edward Island","Males","Total","40+","2014–2015","579","38.63","506","660","6.67","225","38835",
"Prince Edward Island","Both sexes","Total","40+","2015–2016","509","25.00","461","561","4.91","415","81500",
"Prince Edward Island","Females","Total","40+","2015–2016","460","32.97","398","530","7.16","195","42350",
"Prince Edward Island","Males","Total","40+","2015–2016","575","38.31","502","655","6.67","225","39150",
"Prince Edward Island","Both sexes","Total","40+","2016–2017","539","25.56","490","592","4.74","445","82525",
"Prince Edward Island","Females","Total","40+","2016–2017","501","34.14","436","572","6.82","215","42955",
"Prince Edward Island","Males","Total","40+","2016–2017","581","38.32","508","661","6.59","230","39575",
"Prince Edward Island","Both sexes","Total","40+","2017–2018","525","25.01","477","576","4.77","440","83870",
"Prince Edward Island","Females","Total","40+","2017–2018","504","33.96","439","575","6.74","220","43675",
"Prince Edward Island","Males","Total","40+","2017–2018","547","36.90","477","625","6.74","220","40195",
"Prince Edward Island","Both sexes","Total","40+","2018–2019","539","25.13","491","590","4.66","460","85355",
"Prince Edward Island","Females","Total","40+","2018–2019","496","33.42","432","566","6.74","220","44385",
"Prince Edward Island","Males","Total","40+","2018–2019","586","37.81","514","665","6.45","240","40970",
"Prince Edward Island","Both sexes","Total","40+","2019–2020","547","25.11","499","599","4.59","475","86800",
"Prince Edward Island","Females","Total","40+","2019–2020","498","33.19","435","567","6.67","225","45190",
"Prince Edward Island","Males","Total","40+","2019–2020","601","38.00","529","680","6.32","250","41605",
"Prince Edward Island","Both sexes","Total","40+","2020–2021*","484","23.47","439","532","4.85","425","87855",
"Prince Edward Island","Females","Total","40+","2020–2021*","437","30.89","378","502","7.07","200","45785",
"Prince Edward Island","Males","Total","40+","2020–2021*","547","36.04","478","622","6.59","230","42080",
"Prince Edward Island","Both sexes","Total","40+","2021–2022*","463","22.73","420","510","4.91","415","89620",
"Prince Edward Island","Females","Total","40+","2021–2022*","438","30.61","380","503","6.98","205","46775",
"Prince Edward Island","Males","Total","40+","2021–2022*","479","33.42","415","549","6.98","205","42840",
"Prince Edward Island","Both sexes","Total","40+","2022–2023*","535","24.19","489","585","4.52","490","91520",
"Prince Edward Island","Females","Total","40+","2022–2023*","460","31.02","401","525","6.74","220","47820",
"Prince Edward Island","Males","Total","40+","2022–2023*","618","37.61","546","696","6.09","270","43695",
"Nova Scotia","Both sexes","Total","40+","2000–2001","690","12.50","666","715","1.81","3045","441345",
"Nova Scotia","Females","Total","40+","2000–2001","681","17.10","648","715","2.51","1585","232770",
"Nova Scotia","Males","Total","40+","2000–2001","700","18.32","665","737","2.62","1460","208575",
"Nova Scotia","Both sexes","Total","40+","2001–2002","658","12.08","634","682","1.84","2965","450700",
"Nova Scotia","Females","Total","40+","2001–2002","665","16.74","633","699","2.52","1580","237450",
"Nova Scotia","Males","Total","40+","2001–2002","649","17.45","616","685","2.69","1385","213245",
"Nova Scotia","Both sexes","Total","40+","2002–2003","633","11.73","610","656","1.85","2915","460455",
"Nova Scotia","Females","Total","40+","2002–2003","623","16.03","592","655","2.57","1510","242345",
"Nova Scotia","Males","Total","40+","2002–2003","646","17.22","613","681","2.66","1410","218120",
"Nova Scotia","Both sexes","Total","40+","2003–2004","608","11.38","586","631","1.87","2860","470075",
"Nova Scotia","Females","Total","40+","2003–2004","587","15.41","557","618","2.63","1450","247085",
"Nova Scotia","Males","Total","40+","2003–2004","630","16.81","598","664","2.67","1405","222985",
"Nova Scotia","Both sexes","Total","40+","2004–2005","554","10.74","533","575","1.94","2655","479560",
"Nova Scotia","Females","Total","40+","2004–2005","550","14.78","521","580","2.69","1385","251870",
"Nova Scotia","Males","Total","40+","2004–2005","558","15.65","528","589","2.81","1270","227695",
"Nova Scotia","Both sexes","Total","40+","2005–2006","533","10.46","513","554","1.96","2600","487610",
"Nova Scotia","Females","Total","40+","2005–2006","510","14.12","483","538","2.77","1305","255910",
"Nova Scotia","Males","Total","40+","2005–2006","557","15.50","527","588","2.78","1290","231700",
"Nova Scotia","Both sexes","Total","40+","2006–2007","522","10.26","502","542","1.97","2585","495405",
"Nova Scotia","Females","Total","40+","2006–2007","506","13.96","479","534","2.76","1315","259795",
"Nova Scotia","Males","Total","40+","2006–2007","539","15.13","510","570","2.81","1270","235605",
"Nova Scotia","Both sexes","Total","40+","2007–2008","524","10.21","504","544","1.95","2630","502050",
"Nova Scotia","Females","Total","40+","2007–2008","498","13.75","471","525","2.76","1310","263220",
"Nova Scotia","Males","Total","40+","2007–2008","551","15.18","521","581","2.76","1315","238825",
"Nova Scotia","Both sexes","Total","40+","2008–2009","531","10.21","511","551","1.92","2705","509610",
"Nova Scotia","Females","Total","40+","2008–2009","519","13.93","492","547","2.69","1385","267070",
"Nova Scotia","Males","Total","40+","2008–2009","542","14.95","513","572","2.76","1315","242540",
"Nova Scotia","Both sexes","Total","40+","2009–2010","533","10.16","513","553","1.91","2755","516870",
"Nova Scotia","Females","Total","40+","2009–2010","508","13.70","481","536","2.70","1375","270685",
"Nova Scotia","Males","Total","40+","2009–2010","561","15.09","531","591","2.69","1380","246190",
"Nova Scotia","Both sexes","Total","40+","2010–2011","502","9.78","483","521","1.95","2635","525100",
"Nova Scotia","Females","Total","40+","2010–2011","491","13.37","465","518","2.72","1350","274855",
"Nova Scotia","Males","Total","40+","2010–2011","514","14.33","486","542","2.79","1285","250240",
